Position,Runner,Time,Race Score,Age-Group,Gender,Nationality
102,CAPACCHIONE Matteo,105:44:19,550,35-39,M,ITA
103,BLANC Steeven,105:47:19,550,23-34,M,FRA
104,CAVALLINI Simonluca,105:52:46,549,45-49,M,ITA
105,TAUTSCHER Hannes,105:54:42,549,50-54,M,AUT
106,PEDROTTI Dario,105:59:49,549,50-54,M,ITA
107,HERCEGFI Timo,106:03:38,548,50-54,M,GER
108,DE BERTI Tommaso,106:15:01,547,45-49,M,ITA
109,LUNDQVIST Maria,106:21:36,547,35-39,F,SWE
110,DEKEYSER Laurens,106:27:03,546,23-34,M,BEL
111,Zabrodsky Dusan,106:34:09,546,45-49,M,CZE
112,RIGAL Julien,106:49:20,544,40-44,M,FRA
113,STEEN Benjamin,106:52:55,544,45-49,M,FRA
114,FOURTANIER Ludovic,107:04:51,543,50-54,M,FRA
115,WEI shiyu,107:11:11,543,50-54,M,CHN
116,YOKOTA Takahiro,107:30:36,541,35-39,M,JPN
117,CARAFFA MIRCO,107:35:48,540,45-49,M,ITA
118,MARAN Stefano,107:39:45,540,55-59,M,ITA
119,BOURGEOIS Julien,108:04:03,538,40-44,M,FRA
120,PINTO Guido,108:13:58,537,45-49,M,ITA
121,BOURGEOT Stephane,108:19:10,537,50-54,M,FRA
122,BATES Becky,108:40:08,535,60-64,F,CAN
123,CRUZ BRAVO Jorge,108:47:46,534,45-49,M,MEX
124,KONO Daniel,108:48:39,534,55-59,M,USA
125,BERGOUNIOUX Sylvain,108:50:26,534,35-39,M,FRA
126,IVANOVSKI Zhikica,108:59:40,534,40-44,M,MKD
127,POZZOBON Nicola,109:10:13,533,40-44,M,ITA
128,FANTIN Gianluca,109:10:21,533,23-34,M,ITA
129,BAXTER THOMAS,109:14:04,532,35-39,M,IRL
130,AUBERT Florent,109:20:18,532,45-49,M,FRA
131,SOLENNITA Giulio,109:22:45,532,50-54,M,ITA
132,BUCKINGHAM Anna,109:28:40,531,40-44,F,GBR
133,ENGLUND Tom,109:30:41,531,45-49,M,SWE
134,CHARVET Cedric,109:46:42,530,45-49,M,FRA
135,SOTILLO Antoni,110:12:37,528,45-49,M,ESP
136,LIIMATAINEN Osmo,110:25:53,527,40-44,M,FIN
137,VANTTINEN Joni,110:25:54,527,40-44,M,FIN
138,CHANG xu,110:28:46,526,40-44,M,CHN
139,CORSET Franck,110:30:32,526,50-54,M,FRA
140,CASELLI Cristian,110:33:34,526,35-39,M,ITA
141,VANHULST Nicolas,110:40:40,525,40-44,M,BEL
142,TYS Maxime,110:40:42,525,35-39,M,BEL
143,BORTOLI luca,110:43:09,525,55-59,M,ITA
144,DENBY Mark,110:57:23,524,50-54,M,GBR
145,GREGORETTI Stefano,110:58:22,524,50-54,M,ITA
146,PILSKY Tomas,111:04:28,524,40-44,M,CZE
147,KUJAWA Krzysztof,111:13:33,523,40-44,M,POL
148,MAMIC Andi,111:14:34,523,45-49,M,SLO
149,CARDOSO Antonio,111:21:29,522,50-54,M,POR
150,FERREIRA Hugo,111:21:30,522,40-44,M,POR
150,SILVA TERESO Duarte,111:21:30,522,23-34,M,POR
152,GRAÇA Nelson,111:21:53,522,35-39,M,POR
153,GERBIN Ely,111:26:52,522,35-39,M,USA
154,REQUENA OSETE Jordi,111:31:33,521,35-39,M,ESP
155,KJAER Harriet,111:42:00,521,50-54,F,DEN
156,BIANCO Simone,111:58:56,519,45-49,M,ITA
157,VAN DEN BERGH Colin,112:00:48,519,35-39,M,RSA
158,BAGÃO Margarida,112:13:55,518,40-44,F,POR
159,NEGANOV Maxim,112:23:25,517,40-44,M,ITA
160,EVANGELISTI Michele,112:32:17,517,45-49,M,ITA
161,FLUMMERFELT Tom,112:40:06,516,50-54,M,USA
162,OSTUNI Renato,112:44:50,516,40-44,M,ITA
163,ASPERSKI Michal,112:47:42,516,45-49,M,POL
164,CADEAU BELLIARD Sebastien,113:01:56,514,45-49,M,FRA
165,PIEROZZI GABRIELE,113:02:32,514,45-49,M,ITA
166,INNOCENTI Chiara,113:02:54,514,40-44,F,ITA
167,CROSTA Alan,113:35:16,512,23-34,M,ITA
168,IEMMA Cristian,113:36:59,512,45-49,M,ITA
169,BERTOLLA Riccardo,113:39:24,512,45-49,M,ITA
170,PIGARELLI Matteo,113:39:26,512,45-49,M,ITA
171,GRIFFON Yann,113:42:52,511,45-49,M,FRA
172,PAALLYSAHO Juha,113:59:44,510,35-39,M,FIN
173,LAURENT Simone,114:28:53,508,45-49,M,ITA
174,GEVAUX Alexandre,114:35:47,507,40-44,M,FRA
175,PONZO Jean-Michel,114:45:33,507,40-44,M,FRA
176,SCHALKX Tijmen,114:58:14,506,23-34,M,NED
177,EULOGIO Riccardo,115:00:52,506,-,,ITA
178,MILE Monika,115:03:11,505,23-34,F,LTU
179,CAVALLINI Cristiano,115:09:57,505,45-49,M,ITA
180,SAIEVA Maximiliano,115:10:03,505,50-54,M,ITA
181,KOTAI Victor,115:11:09,505,35-39,M,ROU
182,PERA MIRAS Miquel,115:19:15,504,40-44,M,ESP
183,BODERE Henri,115:20:17,504,60-64,M,FRA
184,DELBARBA Stefano,115:24:42,504,50-54,M,ITA
185,KELLY Sean,115:26:04,504,45-49,M,GBR
186,KINGO Gunnar,115:30:55,503,45-49,M,EST
187,MACCHIAVELLO Giorgio,115:36:33,503,60-64,M,ITA
188,AITA Kenta,115:38:17,503,23-34,M,JPN
189,WALCZAK Maciej,115:41:25,503,45-49,M,POL
190,TALLIA Chiara,115:51:23,502,45-49,F,ITA
