Position,Runner,Time,Race Score,Age-Group,Gender,Nationality
448,REZOLA UROLA Josebe Imanol,133:42:06,435,50-54,M,ESP
449,BURTON Garry,133:42:23,435,50-54,M,GBR
450,GALLI Andrea,133:45:12,435,35-39,M,ITA
451,LA MARTINA Dario,133:56:56,434,65-69,M,ITA
452,LEE Glenn,133:57:46,434,23-34,M,SGP
453,BRUGNETTI Gabriele,133:58:54,434,23-34,M,ITA
454,CAVALIERI Alessio,133:59:05,434,40-44,M,ITA
455,GILARDI Silvia,133:59:11,434,35-39,F,ITA
456,TIRONI Matteo,133:59:25,434,35-39,M,ITA
457,PORRO Samuele,134:01:48,434,23-34,M,ITA
458,BLINN Rachel,134:05:52,434,23-34,F,USA
459,BARTHES Ludovic,134:06:11,434,45-49,M,FRA
460,LAMA Jeevan,134:06:14,434,35-39,M,NEP
461,VALENTE Kevin,134:22:42,433,23-34,M,USA
462,CHARLOT Cyril,134:37:02,432,55-59,,FRA
463,ALVEZ BARRERO Fernando,134:44:43,431,50-54,M,ESP
464,GIROLAMI Paolo,134:45:23,431,50-54,M,ITA
465,TASSONE Lorenzo,134:47:29,431,23-34,M,ITA
466,WÄRMLÄNDER Alexis,134:49:51,431,50-54,M,SWE
467,PIKE Anne,134:51:14,431,45-49,F,USA
468,PEREZ Maria Silvina,134:51:57,431,45-49,F,ARG
469,LAMY Guillaume,135:12:53,430,50-54,M,FRA
470,TRANCON Thomas,135:13:18,430,45-49,M,FRA
471,CRUZ Diego,135:14:29,430,40-44,M,ECU
472,CORREALE Enrico,135:14:48,430,55-59,M,ITA
473,GHIGLIA Martina,135:14:57,430,35-39,F,ITA
474,GRIMALDI Fabrizio,135:15:04,430,55-59,M,ITA
475,BAGLIONI Carlo,135:20:35,430,40-44,M,ITA
476,TASSAN TOFFOLA Mauro,135:22:07,429,50-54,M,ITA
477,SALOMONI Cesare,135:22:11,429,55-59,M,ITA
478,MALLOL Luc,135:32:05,429,45-49,M,FRA
479,FABICK Gregory,135:42:02,428,45-49,M,FRA
480,GEZ Maxime,135:42:05,428,35-39,M,FRA
481,HAMA Saiko,135:43:02,428,55-59,F,JPN
482,LOSIO Augusto,135:43:56,428,55-59,M,ITA
483,IKEDA Yukihiro,135:57:22,428,50-54,M,JPN
484,PHAN Trung Hau,136:26:52,426,40-44,M,VIE
485,FLANDRIN Jerome,136:29:22,426,50-54,M,FRA
486,BROGGI Vittorio,136:32:47,426,60-64,M,ITA
487,MARGERTE Philippe,136:37:52,425,60-64,M,FRA
488,JUNKO Kazukawa,136:41:13,425,60-64,F,JPN
489,KAZUKI Morimoto,137:04:25,424,35-39,M,JPN
490,JINNO Tomonori,137:05:24,424,50-54,M,JPN
491,BASTAMOW Tanja,137:10:54,424,45-49,F,FIN
492,KANWISCHER Derek,137:22:56,423,50-54,M,USA
493,NUNES Dawn,137:31:12,423,40-44,F,RSA
494,MONTANGE Aimeric,137:35:02,423,23-34,M,FRA
495,NEGRAULT Nicolas,137:35:03,423,23-34,M,FRA
496,BONANNO Carmelo,137:37:36,422,60-64,M,ITA
497,LICCIARDI Gregory,137:43:59,422,40-44,M,FRA
498,VANZANDT Marie,137:45:53,422,40-44,F,USA
499,HUILLE Alexandre,137:51:42,422,50-54,M,FRA
500,ALBERT Florent,137:52:16,422,40-44,M,FRA
501,OGGIER Nicolas,137:57:30,421,45-49,M,SUI
502,RODRIGUEZ BANDE Jose Antonio,138:01:47,421,50-54,M,ESP
503,OLIVEIRA Filipe Alexandre,138:04:09,421,40-44,M,BRA
504,FORNERO Andrea Domenico,138:11:41,421,55-59,M,ITA
505,HANNA David,138:28:31,420,40-44,M,GBR
506,BARACCO Alberto,138:37:26,419,55-59,M,ITA
507,CHARLOPIN Yannick,138:43:12,419,50-54,M,FRA
508,GLORIA Daniel,138:46:59,419,50-54,M,FRA
509,ZANINI Giovanni,138:48:20,419,55-59,M,ITA
510,NARAS Philippe,139:02:42,418,55-59,M,FRA
511,GHIRELLI Eugenio,139:07:04,418,45-49,M,ITA
512,PELLIZZARO Egidio,139:19:33,417,55-59,M,ITA
513,SANCHI Matteo,139:20:23,417,35-39,M,ITA
514,FONTANA Renato,139:41:07,416,60-64,M,ITA
515,FORNASIER Fausto,139:41:57,416,50-54,M,ITA
516,SASSO Massimiliano,139:42:46,416,40-44,M,ITA
517,VAN DE BERGH Ingo,139:52:50,416,50-54,M,NED
518,DE FROISSARD Anne-Charlotte,139:55:49,415,40-44,F,FRA
519,BENTHAM Darren,140:00:04,415,55-59,M,GBR
520,NODOMI Hiroshi,140:00:24,415,45-49,M,JPN
521,TOKITA Megumi,140:00:32,415,50-54,F,JPN
522,EDUARDO Eduardo Pereira,140:03:48,415,45-49,M,BRA
523,ROBERT Raphael,140:11:43,415,45-49,M,FRA
524,JEGERLEHNER Beat,140:14:30,415,55-59,M,USA
525,PICARD Francis,140:21:33,414,40-44,M,CAN
526,ROSSAINI DAVIDE,140:26:11,414,40-44,M,ITA
527,SCOTTI stefano,140:26:27,414,50-54,M,ITA
528,CAYON Ana Pilar,140:35:07,414,50-54,F,ESP
529,FERRERO Jerome,140:39:38,413,45-49,M,FRA
530,BRAMANTE Paolo,140:41:10,413,45-49,M,ITA
531,HENNUS Luc,140:42:07,413,60-64,M,BEL
532,CISLAGHI Stella,140:43:20,413,35-39,F,ITA
533,KRUK Slawomir,140:54:05,413,60-64,M,POL
534,JEANCLAUDE Eric,140:56:08,412,60-64,M,FRA
535,TREMAUDEUX Nicolas,141:01:24,412,50-54,M,FRA
536,RECH Arnaud,141:05:04,412,45-49,M,FRA
537,BENVENUTI Vittorio,141:08:08,412,60-64,M,ITA
538,ODER Pascal,141:10:10,412,65-69,M,FRA
539,ROGULJIC Ivan,141:10:31,412,45-49,M,CRO
540,JOVANOVA Radmila,141:10:43,412,35-39,F,MKD
541,SANCHI Marco,141:20:25,411,40-44,M,ITA
542,VERNAILLEN Frank,141:21:15,411,50-54,M,BEL
543,FENG Ronghuang,141:21:51,411,45-49,M,CHN
544,YANG Wanyi,141:21:53,411,23-34,M,CHN
545,RINALDI Ivan,141:40:07,410,40-44,M,ITA
546,ZORODDU Giovanni,141:42:44,410,35-39,M,ITA
547,MAZZINI Milena,141:49:52,410,50-54,F,ITA
548,BRAAD Rasmus,141:57:21,410,45-49,M,DEN
549,KENNY Shane Christopher,141:57:23,410,55-59,M,IRL
550,LAZIC Marina,142:15:13,409,35-39,F,SRB
551,BANNACH BRUNO,142:16:41,409,23-34,M,BRA
552,DE BIASE Anna,142:24:42,408,50-54,F,ITA
553,TOZZATO Andrea,142:24:44,408,55-59,M,ITA
554,GRIMALDI Andrea,142:32:03,408,35-39,M,ITA
555,RIBONI Giulio,142:32:36,408,50-54,M,ITA
556,HARDEMAN Vincent,142:35:46,408,35-39,M,NED
557,DIAO SHU,142:37:14,408,40-44,M,CHN
558,WHITE Deuglan,142:42:51,407,40-44,M,IRL
559,BASSETTI Federico,142:43:21,407,50-54,M,ITA
560,ULETT Jonathan,142:43:25,407,40-44,M,GBR
561,STEINBAUER Martin,142:43:32,407,45-49,M,GER
562,SCHMAUCH Georg,142:43:34,407,60-64,M,GER
563,Anonymous 4181118,142:48:55,407,-,-,CHN
564,MIGLIORE Bruno,142:50:46,407,65-69,M,ITA
565,CHOLIERE Gwénaël,142:51:30,407,50-54,M,FRA
566,RESTELLINI Sebastien,142:57:37,407,35-39,M,FRA
567,CERISE Ludivine,143:01:23,406,40-44,F,FRA
568,DEGREMONT Gaetan,143:01:43,406,45-49,M,FRA
569,FRESIA giancarlo,143:03:03,406,55-59,M,ITA
570,MESQUITA Philippe,143:07:46,406,45-49,M,FRA
571,CANNI FERRARI Eugenio Maria,143:07:56,406,55-59,M,ITA
572,MELOTTI Alessio,143:07:58,406,50-54,M,ITA
573,FLAMINI Erik,143:08:00,406,45-49,M,ITA
574,SASSOULAS Pierre,143:08:44,406,50-54,M,FRA
575,PROUD Matthias,143:09:45,406,40-44,M,FRA
576,OCKELOEN Frank,143:20:13,406,40-44,M,NED
577,GREGORINI FILIPPO,143:21:08,406,50-54,M,ITA
578,PROSPERI Luca,143:23:44,405,40-44,M,GBR
579,NISTRI Leonardo,143:24:46,405,23-34,M,ITA
580,MORNIROLI Alessandro,143:27:34,405,35-39,M,ITA
581,DEL GIORGIO Danilo,143:39:56,405,60-64,M,ITA
582,BOURGET MICKAEL,143:42:06,405,55-59,M,FRA
583,VALLE Fabrizio,143:45:33,404,50-54,M,ITA
584,BERTOLDI Lucio Guido Pietro,143:48:08,404,45-49,M,ITA
585,BROSEGHINI Raniero,143:49:10,404,45-49,M,ITA
586,GLASER Mat,143:51:29,404,45-49,M,USA
587,IGUSA Tom,143:54:45,404,45-49,M,NZL
588,HEID Jens,143:55:28,404,45-49,M,GER
589,ELIAS Manuel,143:56:12,404,50-54,M,BEL
590,OUGIER Laurent,143:59:09,404,55-59,M,FRA
591,SIGNORELLI ANGELO,144:06:30,403,55-59,M,ITA
592,MARTIN ELSA,144:10:13,403,35-39,F,ESP
593,GERMAIN Cyrille,144:12:46,403,50-54,M,FRA
594,SCHIFFER Michael,144:14:18,403,45-49,M,GER
595,LAURET Bruno,144:17:10,403,45-49,M,FRA
596,GAMBETTA gianluca,144:23:15,403,50-54,M,ITA
597,DALIN Liang,144:29:28,402,45-49,M,CHN
598,HAMEL Vincent,144:31:12,402,45-49,M,FRA
599,MUSIARI Raffaella,144:34:10,402,50-54,F,ITA
600,GRANELLI Francesca,144:34:14,402,45-49,F,ITA
601,PADOVANI Andrea,144:34:16,402,60-64,M,ITA
602,BUTTA Chiara Maria,144:39:04,402,35-39,F,ITA
603,BRUSAMENTO Lorena,144:41:08,402,50-54,F,ITA
604,BAUMGARTNER Marc,144:44:01,402,55-59,M,SUI
605,HENDERSON Victoria,144:44:11,402,45-49,F,GBR
606,ALLUVIONE Diego,144:44:18,402,50-54,M,ITA
607,GHEDI Osvaldo,144:44:25,402,55-59,M,ITA
608,ZHONG Ming,144:44:29,402,45-49,M,CHN
609,PONS GUAL Bartolome,144:46:51,402,55-59,,ESP
610,FOLDES Dionyz,144:47:42,401,50-54,M,SVK
611,FERRON Philippe,144:49:58,401,60-64,M,FRA
612,FOK BOR Anthony,144:50:07,401,40-44,M,FRA
613,POSTIGO Silvia,144:52:33,401,55-59,F,ARG
614,PARODI Alessandro,144:57:49,401,23-34,M,ITA
615,LEE Sangsin,144:58:34,401,50-54,M,KOR
616,NAGEL Sven-Malte,145:00:23,401,23-34,M,GER
617,SZABO Sandor,145:09:00,400,50-54,M,HUN
618,ADELHANOFF Nicolas,145:13:31,400,35-39,M,FRA
619,JIANG Yujin,145:13:38,400,23-34,F,CHN
620,MORENO Jose,145:16:43,400,65-69,M,FRA
621,LUCI Valerio,145:17:04,400,23-34,M,ITA
622,TOMASELLO Domenico,145:18:20,400,50-54,M,ITA
623,PETRIAUX Marc,145:19:30,400,50-54,M,BEL
624,FLEISHER Aaron,145:19:35,400,40-44,M,USA
625,FACCIA Daniele,145:20:24,400,40-44,M,ITA
626,TERCIER Frédéric,145:20:39,400,45-49,M,SUI
627,BOSSARD yohann,145:22:06,400,50-54,M,FRA
628,TARANIK Charity,145:24:05,400,40-44,F,CAN
629,TARANIK Bryan,145:24:07,400,40-44,M,CAN
630,LANCINI Vincenzo,145:24:51,400,50-54,M,ITA
631,MORETTI Paolo,145:24:53,400,45-49,M,ITA
632,PFEILER OPITZ Marianne,145:29:26,400,50-54,F,AUT
633,KAYSER Jean,145:30:40,399,60-64,M,BEL
634,HE HU,145:30:41,399,50-54,M,CHN
635,GAMBARE Marco,145:32:38,399,45-49,M,ITA
636,BRIKAS Theodoros,145:34:13,399,50-54,M,GRE
637,CELLI Stefano,145:37:39,399,45-49,M,ITA
638,POZZONI Iader,145:37:58,399,55-59,M,ITA
639,AKIKO KAMAKURA,145:40:09,399,40-44,F,JPN
640,SHIMOMURA shoko,145:40:16,399,50-54,M,JPN
641,POZZOLO Alberto,145:40:29,399,45-49,M,ITA
642,SCUCCATO Massimo,145:40:57,399,35-39,M,ITA
643,TASHIRO Hiroyuki,145:41:32,399,55-59,M,JPN
644,SUZUKI Takahiro,145:42:28,399,45-49,M,JPN
645,POLGAR Levente Ioan,145:42:35,399,40-44,M,ROU
646,CHARROIN Pascal,145:43:07,399,50-54,M,FRA
647,UCHIYAMA TSUTOMU,145:44:42,399,55-59,M,JPN
648,PACOT david,145:44:55,399,50-54,M,FRA
649,TSUJIMOTO Arihito,145:55:46,398,55-59,M,JPN
650,DAFFINI Angela,145:56:23,398,55-59,F,ITA
651,BARRAUD Laurent,146:00:07,398,45-49,M,FRA
652,KANAMOTO Kazutoshi,146:00:45,398,55-59,M,JPN
653,ALBERTONE Joel,146:01:38,398,40-44,M,FRA
654,AUVINET Cyril,146:02:28,398,50-54,M,FRA
655,ASSASSA Yann Joel,146:09:08,398,40-44,M,FRA
656,VERONESE Romano,146:09:16,398,45-49,M,ITA
657,CASTAGNERI FABRIZIO,146:10:10,398,55-59,M,ITA
658,BARCELLA Stefano,146:10:23,398,40-44,M,ITA
659,FAUVARQUE Thierry,146:16:57,397,50-54,M,FRA
660,TACCHINI Denis,146:19:24,397,35-39,M,ITA
661,ROBYR Xavier,146:19:52,397,55-59,M,SUI
662,CHEUNG Kashing,146:21:46,397,45-49,M,HKG
663,ROINNE Rodolphe,146:21:47,397,35-39,M,FRA
663,WEHRLE Pierre,146:21:47,397,45-49,M,FRA
665,ABE Masahiro,146:24:07,397,35-39,M,JPN
666,MALLET Luc,146:24:59,397,55-59,M,FRA
667,NIBBIO alessandro,146:29:24,397,55-59,M,ITA
668,BOYDENS Wim,146:29:29,397,45-49,M,BEL
669,GIACALONE Daniele,146:29:32,397,55-59,M,ITA
670,ROSSET Rene,146:31:17,397,45-49,M,ITA
671,GIARAMIDA Giuseppe,146:32:27,397,45-49,M,ITA
672,LEUNG Wan Yee,146:34:45,397,45-49,F,HKG
673,PENG Cheng,146:34:54,397,40-44,M,CHN
674,MU Kai,146:35:27,397,40-44,M,CHN
675,YEUNG Ka Lun,146:38:25,396,45-49,M,HKG
676,SURACE Fabio,146:43:52,396,65-69,M,ITA
677,VITKOV Ilian,146:50:56,396,45-49,M,BUL
678,DUROUX Sergio,146:52:05,396,55-59,M,ITA
679,TRAVAILLOT Laurent,146:54:32,396,60-64,M,FRA
680,TRAVAILLOT Marie Laure,146:54:35,396,55-59,F,FRA
681,LE BRETON Christophe,146:58:41,396,55-59,M,FRA
682,RISSONE Mauro,147:02:31,395,45-49,M,ITA
683,WALSH Padraic,147:06:02,395,50-54,M,IRL
684,COLDRAY Joshua,147:10:41,395,35-39,M,GBR
685,MOLON Fabio,147:11:05,395,40-44,M,ITA
686,DUTERME Virginie,147:24:41,394,50-54,F,FRA
687,SESSANTINI Ferdinando,147:27:24,394,45-49,M,ITA
688,EFFRANCEY Philippe,147:28:56,394,60-64,M,FRA
689,ANDRIEUX Sylvain,147:30:38,394,40-44,M,FRA
690,SGRO CERAVOLO Silvio,147:32:08,394,45-49,M,ITA
691,GAVRIILIDOU DESPOINA,147:33:03,394,45-49,F,GRE
692,PIREDDA Stefania,147:33:20,394,40-44,F,ITA
693,PRAESI suraroek,147:33:43,394,45-49,M,THA
694,SHAO Sebastien,147:34:54,394,50-54,M,FRA
695,ORENGO GIORGIO,147:38:07,394,50-54,M,ITA
696,BROWNE Colleen,147:38:08,394,40-44,F,RSA
697,SLEGERS NICOLAS,147:45:06,393,40-44,M,BEL
698,KOBAYASHI Daiki,147:49:24,393,50-54,M,JPN
699,PETRONE angelo,147:49:42,393,50-54,M,ITA
700,CAPELLONI Francesca,148:03:03,393,55-59,F,ITA
701,ANDEOL Guillaume,148:03:22,393,45-49,M,FRA
702,REICHARDT Frank,148:04:58,393,45-49,M,GER
703,ARMANDO Rigolli,148:07:43,392,65-69,M,ITA
703,GHIO Alfredo,148:07:43,392,65-69,M,ITA
705,WILLIAMS Kaz,148:09:50,392,50-54,F,GBR
706,NEMET Alex,148:17:14,392,50-54,M,USA
707,HAMANO Tomohide,148:23:43,392,55-59,M,JPN
708,DE CORDOVA July,148:23:56,392,55-59,F,GUA
709,MAGLIANO GUIDO,148:24:30,392,60-64,M,ITA
710,DAL Frederic,148:36:06,391,50-54,M,FRA
711,AZNAREZ Jorge,148:39:49,391,55-59,M,ARG
712,ASTETE Veronica,148:40:06,391,50-54,F,ARG
713,RENARD Delphine,148:41:42,391,40-44,F,BEL
714,FONTANIE Christophe,148:42:44,391,50-54,M,FRA
715,MUKAI Yuichi,148:44:32,391,45-49,M,JPN
716,NAHACZ Gregory,148:45:36,391,40-44,M,FRA
717,MOSELE Alessia,148:46:19,391,40-44,F,ITA
718,KUZNETSOV Petr,148:49:30,391,45-49,M,RUS
719,LE Khang,148:53:30,390,45-49,M,USA
720,CASTANON Noe,148:54:22,390,55-59,M,MEX
721,MANONI Giorgio,148:57:22,390,50-54,M,ITA
722,MCDERMOTT David,149:00:14,390,70-74,M,USA
723,OGASAWARA Hiroshi,149:02:05,390,60-64,M,JPN
724,SHEN Qiaolin,149:03:35,390,40-44,M,CHN
725,ZHENG Xiaohui,149:05:25,390,50-54,M,CAN
726,Anonymous 192197,149:10:28,390,-,-,GBR
727,VILF Victoria,149:12:37,390,35-39,F,RUS
728,GUIRONNET Jerome,149:15:59,389,40-44,M,SUI
729,LE GAL Matthieu,149:17:31,389,40-44,M,FRA
730,TANG Ying,149:23:22,389,40-44,F,FRA
731,CAPELLI Alessandro,149:32:08,389,50-54,M,ITA
732,WONGWORRATHEVA Wanlika,149:34:36,389,23-34,F,THA
733,DIBADGE Payam,149:41:12,388,40-44,M,IRI
734,BISAZZA Tiziano,149:44:34,388,45-49,M,ITA
735,XIONG Yonggang,149:49:43,388,45-49,M,CHN
736,POLOTTI Diego,149:57:26,388,50-54,,ITA
737,JI Hang,151:00:14,385,40-44,M,CHN
738,WANG XIAODONG,151:29:43,384,40-44,M,CHN
739,DJOKIC Zudana,151:54:32,383,35-39,F,SRB
740,SHEMING Lu,151:57:12,383,45-49,M,CHN
741,XUAN Liang,151:57:15,383,40-44,M,CHN
742,TANG William,151:57:40,383,55-59,M,HKG
743,GIARDINO Alessandro,152:13:11,382,50-54,M,ITA
